Row 1: ['教育部认可的84项全国大学生学科竞赛名录', '', '', '', '', '', '', '', '', '', '', '']
Row 2: ['序号', '竞赛名称', '报名时间', '竞赛赛制', '作品类别', '配套赛事', '参赛要求', '', '', '', '', '']
Row 3: ['', '', '', '', '', '', '', '', '', '', '', '']
Row 4: ['1', '中国国际大学生创新大赛（互联网+）', '每年5-8月', '采用校级初赛、省级复赛、总决赛三级赛制。\n校级初赛每年5-6月，省级复赛每年6-8月，总决赛每年10月。\n初赛复赛的比赛环节、评审方式等由各校、各地自行决定。各地应在8月31日前完成省级复赛，并完成入围总决赛的项目遴选工作。\n入围总决赛的项目将通过评审，择优进入总决赛现场比赛，决出各类奖项。', '高教主赛道设创意组、初创组、成长组，并按照新工科、新医科、新农科、新文科设置参赛项目类型。  \n（1）新工科类项目：大数据、云计算、人工智能、区块链、虚拟现实、智能制造、网络空间安全、机器人工程、工业自动化、新材料等领域，符合新工科建设理念和要求的项目；    \n（2）新医科类项目：现代医疗技术、智能医疗设备、新药研发、健康康养、食药保健、智能医学、生物技术、生物材料等领域，符合新医科建设理念和要求的项目；    \n（3）新农科类项目：现代种业、智慧农业、智能农机装备、农业大数据、食品营养、休闲农业、森林康养、生态修复、农业碳汇等领域，符合新农科建设理念和要求的项目；    \n（4）新文科类项目：文化教育、数字经济、金融科技、财经、法务、融媒体、翻译、旅游休闲、动漫、文创设计与开发、物流、体育、非物质文化遗产保护、社会工作、家政服务、养老服务等领域，符合新文科建设理念和要求的项目。', '青年红色筑梦之旅赛道分为公益组，创意组与创业组。\n（1）公益组：参赛项目以社会价值为导向，在公益服务领域具有较好的创意、产品或服务模式的创业计划和实践。参赛申报主体为独立的公益项目或社会组织，注册或未注册成立公益机构（或社会组织）的项目均可参赛。\n（2）创意组：参赛项目基于专业和学科背景或相关资源，解决农业农村和城乡社区发展面临的主要问题，助力乡村振兴和社区治理，推动经济价值和社会价值的共同发展。参赛项目在大赛通知下发之日前尚未完成工商等各类登记注册。\n（3）创业组：参赛项目以商业手段解决农业农村和城乡社区发展面临的主要问题、助力乡村振兴和社区治理，实现经济价值和社会价值的共同发展，推动共同富裕。参赛项目在大赛通知下发之日前已完成工商等各类登记注册，学生须为法定代表人。项目的股权结构中，企业法定代表人的股权不得少于10%，参赛成员股权合计不得少于1/3。 \n\n职教赛道分为创意组与创业组。\n创新组：以技术、工艺或商业模式创新为核心优势。\n创业组：以商业运营潜力或实效为核心优势。\n工匠组：以体现敬业、精益、专注、创新为内涵的工匠精神为核心优势。\n\n产业命题赛道针对企业开放创新需求，面向产业代表性企业、行业龙头企业、专精特新企业以及入选国家“大众创业万众创新示范基地”的大型企业征集命题。企业命题应聚焦国家“十四五”规划战略新兴产业方向，倡导新技术、新产品、新业态、新模式。围绕新工科、新医科、新农科、新文科对应的产业和行业领域，基于企业发展真实需求进行申报。\n\n萌芽赛道参赛对象为普通高级中学在校学生项目应紧密融合学习、生活、社会实践能创造性地解决问题或提供解决思路具有可预见的应用性与成长性。', '参赛项目只能选择一个符合要求的赛道报名参赛，根据参赛团队负责人的学籍或学历确定参赛团队所代表的参赛学校，且代表的参赛学校具有唯一性。参赛团队须在报名系统中将项目所涉及的材料按时如实填写提交。已获本大赛往年总决赛各赛道金奖和银奖的项目，不可报名参加今年大赛。参赛人员（不含产业命题赛道参赛项目成员中的教师）年龄不超过35岁（1989年3月1日及以后出生）。', '', '', '', '', '']
Row 5: ['2', '“挑战杯”全国大学生课外学术科技作品竞赛（大挑）', '奇数年3-4月', '赛事包括校级选拔赛、省级决赛和全国总决赛三个阶段。\n校赛阶段（3-4月）：学院统一组织报名；参赛项目需在赛事官方平台填报，提交相关材料，最终由学校选拔优秀作品申报省级赛事。\n省赛阶段（5-6月）：需在赛事官方平台上进行审批申报。省级预赛时，在官方赛事系统内填报作品申报书并上传附件。省级决赛时，根据反馈意见指导参赛作品进一步修改完善，做好作品的展示和答辩准备。\n国赛阶段（10月）：国赛入选项目名额依据作品质量，由省级团委确定名额。国赛网评、全国终审决赛。', '主赛道一般分为三类；自然科学类学术论文、哲学社会科学类社会调查报告、科技发明制作。（1）自然科学类学术论文：自然科学类学术论文的作者仅限本科生。作品类别包括机械、仪器仪表、自动化控制、工程、交通、建筑、计算机、电信、通讯、电子、数学、物理、地球与空间科学、生物、农学、药学、医学、健康、卫生、食品、能源、材料、石油、化学、化工、生态、环保等方面的作品。侧重考核基础学科学术探索的前沿性、学术性和实用性。（2）哲学社会科学类社会调查报告：围绕发展成就、文明文化、美丽中国、民生福祉、中国之治5个组别形成社会调查报告。侧重考核与经济社会发展热点、难点问题的结合程度和前瞻意义。（3）科学发明制作类：工作汇报必须有对工作情况的概述和叙述，有的比较简单，有的比较详细。科技发明制作类分为A、B两类：A类指科技含量较高、制作投入较大的作品；B类指投入较少，且为生产技术或社会生活带来便利的小发明、小制作等。侧重考核作品的应用价值和转化前景。这部分内容主要是对工作的主客观条件、有利条件和不利条件以及工作的环境和基础等进行分析。', '（1）红色专项赛：注重于将红色文化撒在祖国大地之上，通过大学生的想法，去挖掘红色历史，传播红色文化。（2）“揭榜挂帅”专项赛：以国家重大需求为导向，聚焦“卡脖子”技术，解决实际问题。通过“政企发榜、竞争揭榜、开榜签约”的方式，向高校学生团队征集解决方案。（3）“黑科技”展示活动：针对前沿领域、具有颠覆性和前瞻性的实物或技术，以及充满奇思妙想、脑洞大开的创意性、趣味性作品进行展示。', '凡在举办竞赛终审决赛的当年6月1日以前正式注册的全日制非成人教育的各类高等院校在校专科生、本科生、硕士研究生（不含在职研究生）都可申报作品参赛。每个参赛团队人数不超过8人（国赛），指导老师不超过3名。', '', '', '', '', '']
Row 6: ['3', '“挑战杯”全国大学生创业计划大赛（小挑）', '偶数年3-4月', '“小挑”的赛制是校级、省级、国家级三级联赛。\n（同大挑）', '（1）科技创新和未来产业：围绕创新驱动发展战略，推动数字经济健康发展，在量子技术、元宇宙、智能制造、信息技术、大数据、人工智能、生命科学、新材料、军民融合等领域，结合实践观察设计项目。（2）乡村振兴和农业农村现代化：围绕乡村振兴战略，在农林牧渔、电子商务、乡村旅游等领域，结合实践观察设计项目。（3）生态文明建设和绿色低碳发展：围绕绿色低碳发展和碳达峰碳中和目标，在绿色低碳产业、绿色消费、环境治理、可持续资源开发、生态环保、清洁能源应用等领域，结合实践观察设计项目。（4）文化创意和区域交流合作：突出共融、共享，紧密围绕“一带一路”和京津冀、长三角、粤港澳大湾区以及成渝地区双城经济圈、长江经济带和黄河流域等区域合作，或在工业设计、动漫广告、体育竞技和国际文化传播、对外交流培训、对外经贸等领域，结合实践观察设计项目。（5）社会治理和公共服务：围绕国家治理体系和治理能力现代化建设，在政务服务、消费生活、公共卫生与医疗服务、金融与财经法务、教育培训、交通物流、人力资源、城乡融合等领域，结合实践观察设计项目。', '无', '在举办竞赛决赛的当年6月1日以前正式注册的全日制非成人教育的各类普通高等学校在校专科生、本科生、硕士研究生（不含在职研究生），全日制职业教育本科、高职高专和中职中专在校学生，每个参赛团队人数不超过10人。', '', '', '', '', '']
Row 7: ['4', 'ACM-ICPC国际大学生程序设计大赛', '每年4月', 'ICPC以团队的形式代表各学校参赛，每队由3名队员组成。分为本地赛，区域赛和世界总决赛三个级别。', '每队使用1台电脑需要在5个小时内使用 Java、C、C++、Kotlin 或 Python 中的一种编写程序解决8到13个问题。程序完成之后提交裁判运行，运行的结果会判定为"AC(答案正确)/WA（答案错误）/TLE（超出时间限制）/MLE（超出内存限制）/RE（运行错误）/PE（格式错误）"中的一种并及时通知参赛队。每队在正确完成一题后，组织者将在其位置上升起一只代表该题颜色的气球。', '无', '参赛队伍：每支队伍由三名队员组成，队员必须是在校大学生，且通常要求来自同一所学校。指导老师：每支队伍需要有一名指导老师，负责队伍的组织、指导和管理工作。', '', '', '', '', '']
Row 8: ['5', '全国大学生数学建模竞赛', '每年4-9月', '采用省赛和国赛。初赛期间，参赛队伍在规定时间内下载赛题，独立完成论文并按要求提交。\n省赛结果公示后，进入国赛的队伍是否进行现场答辩以省内通知为准。', '竞赛题目一般来源于科学与工程技术、人文与社会科学（含经济管理）等领域经过适当简化加工的实际问题，不要求参赛者预先掌握深入的专门知识，只需要学过高等学校的数学基础课程。题目有较大的灵活性供参赛者发挥其创造能力。参赛者应根据题目要求，完成一篇包括模型的假设、建立和求解、计算方法的设计和计算机实现、结果的分析和检验、模型的改进等方面的论文（即答卷）。竞赛评奖以假设的合理性、建模的创造性、结果的正确性和文字表述的清晰程度为主要标准。', '无', '大学生以队为单位参赛，每队不超过3人（须属于同一所学校），专业不限。竞赛分本科、高职高专两组进行，所有大学生均可参加本科组竞赛，但只有高职高专学生可以参加高职高专组竞赛（也可参加本科组竞赛）。研究生不得参加本项竞赛。每队最多可设一名指导教师或教师组，从事赛前辅导和参赛的组织工作，但在竞赛期间不得进行指导或参与讨论。', '', '', '', '', '']
Row 9: ['6', '全国大学生电子设计竞赛', '奇数年每年5-6月', '两年一届（单数年举办），4天3夜封闭式制作，分省赛→全国综合测评→复测', '电源、控制、通信、仪器仪表、高频等方向，具体赛题每年调整', 'TI杯、企业专项赛（如华为、睿赛德等合作命题）', '本科/高职在校生，3人组队，1-2名指导教师', '', '', '', '', '']
Row 10: ['7', '中国大学生医学技术技能大赛', '通常每年9-11月（不同赛道时间略有差异）', '分赛区选拔→全国总决赛，采用多站式临床技能考核（含操作、理论、急救等）', '临床技能（如问诊、穿刺、缝合）、护理操作、中医传统技法、医学知识综合应用等', '部分赛道设专项培训或校企合作技能挑战活动（如护理赛道合作医院实训）', '医学相关专业本科/专科在校生，4人组队（部分赛道为个人赛），需校内选拔推荐', '', '', '', '', '']
Row 11: ['8', '全国大学生机械创新设计大赛', '偶数年3-5月', '两年一届，分校赛→省赛→全国总决赛（实物演示+答辩）', '围绕每届主题设计（如第11届主题为“机械创新推进农业现代化”），涵盖智能装备、仿生机械、环保设备等', '慧鱼组（创意模型）专项赛、企业命题挑战赛（如华为/大疆合作课题）', '本科/专科在校生，5人组队，1-2名指导教师，需提交设计说明书及实物/模型', '', '', '', '', '']
